UniProtID,degree,betweenness_centrality,clustering_coefficent
Q6ICB0,3,1.769404704312609e-05,0.0
P16562,1,0.0,0.0
Q5JY90,2,1.9779465923689385e-07,0.0
Q6IA17,9,3.269192597671173e-05,0.25
P30281,42,9.391156466892649e-05,0.09407665505226481
P49795,16,0.0003135513433462977,0.06666666666666667
Q53XX5,2,3.1301789780901056e-06,0.0
P49796,24,6.90585222514806e-05,0.08695652173913043
P49790,71,0.0005090532443662541,0.08933601609657947
P49792,94,0.0005240860542868077,0.1322351864561885
B0I1T2,6,1.7481587107587206e-06,0.2
O60721,5,0.00013491458198183073,0.6
Q15935,1,0.0,0.0
P51116,73,0.00045570767683407297,0.05098934550989345
P51114,29,5.1505692241050346e-05,0.1748768472906404
Q92913,7,1.870749229538285e-06,0.0
Q9H7L9,11,1.1931283255503442e-06,0.5272727272727272
P35070,5,6.068779641868065e-06,0.3
Q9Y2T5,1,0.0,0.0
Q9Y2T4,1,0.0,0.0
O60814,13,1.68595213030827e-06,0.10256410256410256
O60547,10,4.08790192354253e-06,0.2222222222222222
Q9Y2T1,15,1.6163772808668734e-05,0.23809523809523808
Q5T7V8,11,8.876611111711322e-05,0.07272727272727272
O60542,1,0.0,0.0
O60543,5,7.89044675075973e-06,0.1
B5B2P0,1,0.0,0.0
E7EPN9,1,0.0,0.0
Q02363,41,8.11468678626899e-05,0.08658536585365853
E7ERK8,1,0.0,0.0
Q9HCD5,15,6.052924192752098e-05,0.12380952380952381
Q8N8Y2,4,2.45804007278599e-07,0.0
O43497,2,1.058485992912893e-06,0.0
P28907,9,7.635211294335927e-07,0.4444444444444444
Q9P0L0,45,0.0002894657347345438,0.07575757575757576
P31483,32,5.850374490278016e-05,0.22379032258064516
Q9P0L2,19,2.0351075619864356e-05,0.2222222222222222
Q92665,18,7.5857055887349065e-06,0.0915032679738562
O00399,5,9.613439456839627e-07,0.1
Q05B42,1,0.0,0.0
Q9P0L9,4,2.1370113704941184e-07,0.0
P49789,13,8.890500749473894e-06,0.10256410256410256
Q8IWE4,9,1.6226615879951672e-06,0.6388888888888888
Q59GK3,3,1.3129078003729485e-06,0.3333333333333333
Q92738,6,2.3857234552969328e-05,0.2
Q08174,4,6.822734226295599e-06,0.0
P35251,46,5.580549448564639e-05,0.2
P35250,44,5.8898755702599575e-05,0.18921775898520085
Q08170,48,0.00011176696558616802,0.2712765957446808
O75427,7,2.7641808231392075e-06,0.047619047619047616
O75426,2,0.0,1.0
Q92730,15,4.6496665639819175e-06,0.01904761904761905
Q92731,338,0.002719668257609944,0.02786508173406142
Q92733,12,7.221388825774844e-06,0.15151515151515152
Q92734,54,0.00022023227266961183,0.10761705101327743
Q9H773,18,2.5449881682734745e-05,0.16339869281045752
Q92736,24,7.962521888356055e-05,0.10507246376811594
P43026,7,9.068602381783134e-07,0.2857142857142857
P23109,1,0.0,0.0
O60609,1,0.0,0.0
Q02846,6,0.00031778565352596106,0.0
Q00765,10,1.8649663154018627e-05,0.06666666666666667
O60603,24,0.00011161515684232656,0.06159420289855073
O60602,5,1.5541194586399338e-07,0.4
Q8NBH2,1,0.0,0.0
Q5BKT4,2,8.510205553977673e-08,0.0
P55285,6,0.00013493871773898232,0.4666666666666667
O00506,167,0.0005567852229246221,0.09739557030517279
O00505,38,5.42535906725704e-05,0.07681365576102418
P17927,6,2.209575351334513e-06,0.06666666666666667
O00501,4,1.827278900155654e-07,0.6666666666666666
